ticket_id,subject,body,category_label,priority_label
T00237,Enhancement: custom SLAs per team,Enhancement: custom SLAs per team and escalation rules based on priority.,Feature Request,P2
T00238,Getting intermittent 500 errors,The app is slow across multiple pages. Average load time is 3s. Region: EU-West.,Performance & Reliability,P1
T00239,App is very slow today,Intermittent 500 errors on /api/tickets. Correlation ID: CID585171. Happens since 2026-01-06.,Performance & Reliability,P1
T00240,Need help creating API token,Zapier trigger 'New Ticket' stopped firing since 2026-01-23. We reconnected but still nothing.,Integrations & API,P2
T00241,Change billing email for account,We want to cancel at end of term and export all data. Steps?,Account & Subscription,P1
T00242,Reports dashboard not updating,"CSV export is missing columns: priority, assignee. We need them for our weekly reporting.",Data Export & Reporting,P1
T00243,Search requests timing out,We're seeing latency spikes in AP-South starting 2026-01-04. Any mitigations?,Performance & Reliability,P2
T00244,Possible security incident report,We need to process a GDPR deletion request for user it@acme.com. What's the procedure/timeline?,Security & Compliance,P0
T00245,Add 10 more seats to our workspace,We need to transfer workspace ownership from opslead@acme.com to itadmin@acme.com.,Account & Subscription,P1
T00246,Can you add SSO for Azure AD?,Feature request: allow bulk tagging of tickets from the list view to speed up triage.,Feature Request,P2
T00247,Mobile app crashes on launch,Email notifications are not being delivered to admin@acme.com. SMTP logs show Unexpected null reference.,Bugs & Errors,P2
T00248,Need GDPR data deletion,Can you confirm encryption at rest and in transit? Any details on key management?,Security & Compliance,P2
T00249,Account locked after failed attempts,Password reset emails are not arriving for ops@acme.com. We checked spam. Could you resend or advise?,Authentication & Access,P2
T00250,SSO login loop with Okta,"After enabling MFA, multiple users are stuck at the verification step. We use Google Workspace. Any known issues?",Authentication & Access,P2
T00251,UI crashes when opening ticket view,Uploading an attachment fails with 'Token expired'. File type: zip. Size: 8MB.,Bugs & Errors,P2
T00252,Need to upgrade our plan,We want to cancel at end of term and export all data. Steps?,Account & Subscription,P2
T00253,API returns 429 rate limit too quickly,Our webhook endpoint started failing. We receive 401 responses. Signature header: SIG242350. Any changes recently?,Integrations & API,P1
T00254,Webhook delivery failing with 401,Slack integration stopped posting to channel #incidents. App shows connected but no messages.,Integrations & API,P2
T00255,Latency spike in EU region,Intermittent 500 errors on /api/tickets. Correlation ID: CID949785. Happens since 2026-01-17.,Performance & Reliability,P1
T00256,Search requests timing out,Service appears down for our entire team (multiple networks). Status page? We need ETA.,Performance & Reliability,P0
T00257,Feature request: bulk tag tickets,Enhancement: custom SLAs per team and escalation rules based on priority.,Feature Request,P2
T00258,How to configure IP allowlist?,Can you confirm encryption at rest and in transit? Any details on key management?,Security & Compliance,P1
T00259,SSO login loop with Okta,SSO keeps redirecting back to the login page. We configured SAML with Google Workspace. Error: Invalid SAML response.,Authentication & Access,P2
T00260,Need GDPR data deletion,Can you confirm encryption at rest and in transit? Any details on key management?,Security & Compliance,P1
T00261,Latency spike in EU region,The app is slow across multiple pages. Average load time is 8s. Region: AP-South.,Performance & Reliability,P2
T00262,Can't login after enabling MFA,New user invited but gets 'access denied' when joining workspace acme-support.,Authentication & Access,P2
T00263,Charged twice for my subscription,We noticed we were charged twice on 2026-01-26. Transaction IDs: TX111214 and TX544579. Please investigate.,Billing & Payments,P1
T00264,Need scheduled exports to S3,We need scheduled exports (daily) to an S3 bucket. Is this supported?,Data Export & Reporting,P1
T00265,App is very slow today,We're seeing latency spikes in US-East starting 2026-01-05. Any mitigations?,Performance & Reliability,P1
T00266,Need scheduled exports to S3,Dashboard shows stale numbers since 2026-01-14. Is there an incident or delayed pipeline?,Data Export & Reporting,P2
T00267,Error when uploading attachment,Uploading an attachment fails with 'Permission denied'. File type: png. Size: 80MB.,Bugs & Errors,P2
T00268,How to download audit logs?,Dashboard shows stale numbers since 2026-01-17. Is there an incident or delayed pipeline?,Data Export & Reporting,P2
T00269,Webhook delivery failing with 401,Our webhook endpoint started failing. We receive 401 responses. Signature header: SIG191468. Any changes recently?,Integrations & API,P1
T00270,Need scheduled exports to S3,We need scheduled exports (daily) to an S3 bucket. Is this supported?,Data Export & Reporting,P2
T00271,Mobile app crashes on launch,Filter settings won't save; they reset on refresh. Steps to reproduce: 1) save filter 2) reopen app 3) missing.,Bugs & Errors,P2
T00272,Requesting SOC 2 report,We need to process a GDPR deletion request for user admin@acme.com. What's the procedure/timeline?,Security & Compliance,P2
T00273,Getting intermittent 500 errors,We're seeing latency spikes in AP-South starting 2026-01-10. Any mitigations?,Performance & Reliability,P1
T00274,Webhook delivery failing with 401,We're getting 429 rate limits after only a few requests/min. Our use case is syncing tickets to our data warehouse.,Integrations & API,P1
T00275,Charged twice for my subscription,We noticed we were charged twice on 2026-01-08. Transaction IDs: TX817663 and TX503433. Please investigate.,Billing & Payments,P1
T00276,CSV export missing columns,Export runs for ~15 minutes and then times out. Dataset size is about 15000 rows.,Data Export & Reporting,P1
T00277,Error when uploading attachment,"Mobile app crashes on launch after the latest update. Device: iPhone 14, OS: iOS 17.",Bugs & Errors,P2
T00278,Charged twice for my subscription,"Hi team, our December invoice shows the wrong billing address. We are on the Business plan. Can you help correct it?",Billing & Payments,P1
T00279,Feature request: bulk tag tickets,Can you add SSO for Azure AD with SCIM provisioning? We need for enterprise rollout.,Feature Request,P2
T00280,Error when uploading attachment,Email notifications are not being delivered to ops@acme.com. SMTP logs show Signature mismatch.,Bugs & Errors,P2
